Country;2015;2016;2017;2018;2019;F2015;F2016;F2017;F2018;F2019;M2015;M2016;M2017;M2018;M2019
AUS;43.1;43.5;43.2;42.1;44.5;44.1;44.3;44.9;44.3;46.4;40.5;41.1;39.9;38.1;41
AUT;17.8;20.5;28.1;31.6;30.8;14.2;17.2;26.6;29.2;28.3;21.3;23.5;28;32.8;32.3
BEL;39;37.6;37.6;39.3;37.7;37.5;36.3;38.5;36.7;;39.4;37.6;39.1;37.7;
CAN;53.1;54.5;59.3;62.2;63.6;52.8;53.6;59;62.6;64;51.7;54.6;58.2;60;61.5
CHL;15.2;15.5;15.5;18.8;17.7;14;14.7;14.7;17.1;17;16.2;16.2;17.2;18.7;18
COL;3.6;3.1;3.3;3.1;5.9;3.5;3.9;3.2;3.8;5.9;3.7;3.2;3;3.7;5.9
CRI;12.9;13.2;17.5;15.1;21.3;13.5;13.3;17.4;14.1;20.6;11.8;12.9;17.4;16.1;21.7
CZE;15;13.8;16.7;15.7;16.7;13.7;12.4;15.5;14.4;15.5;16.4;15.5;18;17.2;17.9
DNK;58.3;59.9;59.3;59.9;56.7;52.8;56.8;58.4;58.4;55.1;62;60.9;56.9;59.1;56
EST;7.2;7.5;10;9;10.8;3.5;4.3;6.3;5.2;8.3;12.1;11.1;14.7;14.2;13.5
FIN;;35.8;34.3;38;36.7;;33;31.3;34.7;32.6;;37.4;36.7;40.4;41
FRA;30.1;29.5;28.7;28.7;;25.6;26.6;45.8;;;35.9;32.2;20.7;;
GER;41.9;42.4;47;51;49.5;38.8;39.3;44.8;49.4;48.2;43.1;43.6;47.2;49.9;48.5
GRC;7.8;9.2;11.7;12.5;14;8;10;13;13;15.2;7.4;7.8;9.8;11.5;12.2
HUN;35.7;33;37.4;39.2;42.9;32.9;30.4;35;35.7;40.7;38.6;36.3;39.3;42.6;44.1
ISL;27.7;22.3;27.8;30.2;33.3;27.8;20.4;27.9;30.4;31.4;27.5;24.4;27.6;29.6;35.3
IRL;46.4;;;56.3;;47.6;;;58.3;;43.7;;;53;
ISR;27.4;30.1;33.7;34.6;38.3;26.3;31;34.2;35.9;39.9;28.2;27.7;31.8;31.6;34.8
ITA;23.2;22.7;25.2;22.7;25.2;23.6;23;25.7;;;21.3;21.2;23.2;;
JPN;5.9;6;8.8;8.9;9;6;6.1;8.2;8.2;8.4;5.2;5.4;9.3;9.5;9.4
KOR;16.5;15.3;14.4;11.5;11;14.9;13.6;13.1;9.9;9.6;17.7;17;15.1;12.8;11.8
LVA;18.6;19.8;23;26.9;24.4;13.2;15;17.6;21.6;20.2;23.9;25.5;29.7;33.8;29.2
LTU;3.7;4.7;8.1;7.5;8.5;2.9;4.2;7.8;7.4;8;4.9;5.3;7.9;7;8.7
LUX;43.9;42.5;40.3;49.7;43.2;40.6;39.7;40.7;43.9;45.4;47.9;47.5;39.1;56.5;37.9
MEX;8.3;6.8;6.2;6.6;6.8;4.8;4;3.4;3.9;4.1;12.2;10;9.3;9.7;9.9
NLD;65.3;67;68.8;65.3;59.6;67.5;68.5;70.9;67.4;60.3;59.2;61.8;63.1;59.6;56.7
NZL;46.5;43.2;;;48.4;45.1;;;42.7;39.8;;;
NOR;49;51.4;;;57.7;52.6;;;41.1;46.7;;;
POL;5.6;8.1;9.3;9.3;9.3;1.9;3.1;3.7;3.5;3.5;9.7;13.7;15.4;15.7;15.8
PRT;24.3;26.7;28.2;33.1;37.3;22.7;25;26.8;32;36.3;26.5;29;29.8;34.4;37.9
SVK;;;20.3;16;17.1;;18.4;14;14.5;13.9;;22.1;18.2;21.5;20.4
SVN;11.8;12.9;15.5;15.6;20;4.1;3.4;5.6;5.4;5.5;20.7;24;26.8;27.5;36.5
ESP;34;32.8;32.6;32.9;32.8;34.5;33;33;33.4;33;31.9;31.2;30.9;30.9;31.2
SWE;52;53.1;53.4;54.6;54.6;53.3;54.2;54.7;55.5;;48.2;49.5;48.6;51.1;
CHE;56.7;51.1;56.1;54.5;54.5;58.7;52.5;57.7;57.3;56.8;51.5;47.1;51.2;48.1;48.6
TUR;1.7;1.7;1.5;;0.9;1.4;1.4;;0.8;2;1.7;;1
GBR;73.7;71.6;74.3;75.3;66.7;77.4;75;77.2;78.9;69;66;64.7;68
USA;45.9;43.8;43.9;43.9;42;47;44.6;44.8;44.1;42.7;42.5;40.7;40.7;40;39.5
ARG;9.5;10.3;8;10;10.9;8.2;9;7;9.1;10;10.9;11.5;9.1;11;;
BRA;9.6;9.8;9.7;10.1;10.6;5.6;6;6;6.1;6.7;14.1;14.2;13.9;14.7;15
BGR;1.2;1.1;0.9;1.1;1.1;0.9;0.9;0.7;0.7;0.8;1.4;1.3;1.2;1.4;1.4
HRV;30.1;23.8;25.9;28;28;27.7;21.6;23.7;;24;31.3;25;27.4;;31.1
PER;;2.2;2.6;2.8;3;;1.8;2.2;2.5;2.9;;2.7;3;3;3.1
ROU;1;1.2;1.1;1.2;1.1;0.5;0.6;0.6;0.7;0.6;1.6;1.8;1.7;2;1.6
RUS;11.7;;;15;9.8;;;12.8;14.3;;;17.7
ZAF;14.6;18;19.4;18.9;19;12.8;16.4;17.4;17.4;;17.8;20.6;22.6;20.6;
